resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Mano de obra sencilla,Labor,Labor,Sa,5797.6,4341.3,7177.16,5776.74,3,ARS,109489.85,18.8776,16092,13864,CONSTRUCTION WORK,Construcción,,Construcción de pared revestida con placa de yeso con estructura simple (Perfil 
10.100.1082,Oficial de instalaciones,Labor,Labor,Sa,8752.63,8752.63,8752.63,8752.63,1,ARS,110442.47,12.6182,5556,5540,EQUIPMENT INSTALLATION,Instalación Mecánica,,Uzun musluklu ve pirinç kumandasız sifonlu
10.100.1084,Asistente de ayudante de instalador,Labor,Labor,Sa,6476.95,6476.95,6476.95,6476.95,1,ARS,87241.6,13.4696,5215,5199,EQUIPMENT INSTALLATION,Instalación Mecánica,,Uzun musluklu ve pirinç kumandasız sifonlu
10.100.1081,Elektrik ustası,Labor,Labor,Sa,8752.63,8752.63,8752.63,8752.63,1,ARS,203969.44,23.3038,4719,4619,EQUIPMENT INSTALLATION,Instalación eléctrica,,Profundidad al menos 400 mm
10.100.1083,Ayudante de oficial de electricidad,Labor,Labor,Sa,6476.95,6476.95,6476.95,6476.95,1,ARS,153094.72,23.6369,4633,4633,EQUIPMENT INSTALLATION,Instalación eléctrica,,Profundidad al menos 400 mm
10.100.1055,Operador de maquinaria,Labor,Labor,Sa,10025.14,9978.0,12428.74,9978.0,2,ARS,92527.96,9.2702,3446,2481,CONSTRUCTION WORK,Construcción,,Cam Elyaf Takviyeli Polyester (CTP) Silindirik su depoları
01.V04,Maestro especializado,Material,General,SA,12428.74,12428.74,12428.74,12428.74,1,ARS,455258.06,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Cultura y Turismo B. (Antiguas obras / Restauración),,
19.100.1112,Montacargas,Equipment,General,Sa,24085.49,24085.49,24085.49,24085.49,1,ARS,164599.72,6.834,1973,1968,CONSTRUCTION WORK,Construcción,,Polietilen Su Depoları
10.100.1050,Maestro de encofrado,Labor,Labor,Sa,8876.94,8752.63,10853.26,8752.63,2,ARS,30995.12,3.3658,1827,1827,CONSTRUCTION WORK,Construcción,,
01.V06/01,Trabajo de restauración de nivelación,Material,General,SA,5776.74,5776.74,5776.74,5776.74,1,ARS,23164.19,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Cultura y Turismo B. (Antiguas obras / Restauración),,
01.V05,Asistentes de maestro especializado,Material,General,SA,8577.58,8577.58,8577.58,8577.58,1,ARS,209852.56,24.4652,1346,814,RESTORATION/HERITAGE WORK,Cultura y Turismo B. (Antiguas obras / Restauración),,
10.100.1091,"Especialista en Pruebas, Ajustes y Puesta en Marcha",Labor,Labor,Sa,24507.37,24507.37,24507.37,24507.37,1,ARS,730494.56,29.8071,1239,1239,EQUIPMENT INSTALLATION,Instalación eléctrica,,TEK FAZLI REAKTİF GÜÇ KONTROL RÖLELERİ
19.100.1113,Grúa móvil,Equipment,General,Sa,37825.51,37803.31,49100.51,37803.31,2,ARS,466360.82,12.3354,1018,1013,CONSTRUCTION WORK,Construcción,,Cam Elyaf Takviyeli Polyester (CTP) Silindirik su depoları
10.130.9991,Agua,Material,General,m³,1406.75,1225.37,1925.58,1347.91,3,ARS,200.82,0.1285,927,679,CONSTRUCTION WORK,Construcción,,
19.100.1002,Ekskavatör Beko (125 HP),Equipment,General,Sa,69601.27,69601.27,69601.27,69601.27,1,ARS,6749.01,0.097,546,528,CONSTRUCTION WORK,Construcción,,
10.100.1060,Formen,Labor,Labor,Sa,12626.12,12603.79,15579.68,12603.79,2,ARS,18392.4,1.4311,539,398,CONSTRUCTION WORK,Construcción,,"Sürgülü (şiber) ve Glop Vanalar; pirinç vidalı, preste imal edilmiş (TS EN 12288"
10.100.1063,Trabajador de mano de obra,Labor,Labor,Sa,7251.19,7002.1,8752.63,7002.1,2,ARS,36270.65,5.1657,507,371,CONSTRUCTION WORK,Construcción,,
10.100.1068,Maestro de primera clase,Labor,Labor,Sa,8662.74,6652.0,10853.26,8752.63,3,ARS,12968.75,1.3882,469,399,CONSTRUCTION WORK,Construcción,,
10.100.1049,Ayudante de maestro de albañilería,Labor,Labor,Sa,6907.71,6476.95,8052.42,6476.95,2,ARS,40807.77,5.4792,396,396,CONSTRUCTION WORK,Construcción,,
10.100.1021,Jornalero especializado en trabajos de albañilería,Labor,Labor,Sa,9313.87,6652.0,10853.26,8752.63,3,ARS,178256.07,19.5521,394,285,MACHINE RATE,Análisis de tarifa horaria de maquinaria,,
10.100.1064,Aprendiz,Labor,Labor,Sa,5780.0,4341.3,7177.16,5776.74,3,ARS,10359.93,1.7933,376,130,CONSTRUCTION WORK,Construcción,,
10.100.1013,Albañil,Labor,Labor,Sa,8864.96,6652.0,10853.26,8752.63,3,ARS,7024.26,0.7882,375,341,CONSTRUCTION WORK,Construcción,,
10.420.1012,Anclajes de varilla y plástico,Material,General,Ad,52.17,35.01,52.52,52.52,2,ARS,802.22,15.2894,356,265,CONSTRUCTION WORK,Construcción,,Construcción de pared revestida con placa de yeso con estructura simple (Perfil 
10.160.1035,Elektrot,Material,General,Ad,59.5,44.11,67.22,56.02,3,ARS,7346.46,117.7585,345,272,MACHINE RATE,Análisis de tarifa horaria de maquinaria,,
10.160.1026,Combustible,Material,General,Kg,1612.39,1534.86,1983.7,1534.86,2,ARS,23126.86,14.3654,331,98,MACHINE RATE,Análisis de tarifa horaria de maquinaria,,
10.300.1602,Zımpara kağıdı,Material,General,Ad,226.79,122.54,227.57,227.57,2,ARS,3391.08,14.9103,269,101,CONSTRUCTION WORK,Construcción,,
