resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Mano de obra sencilla,Labor,Labor,Sa,5.84,4.37,7.22,5.81,3,EUR,110.2,18.8776,16092,13864,CONSTRUCTION WORK,Construcción,,Construcción de pared revestida con placa de yeso con estructura simple (Perfil 
10.100.1082,Oficial de instalaciones,Labor,Labor,Sa,8.81,8.81,8.81,8.81,1,EUR,111.16,12.6182,5556,5540,EQUIPMENT INSTALLATION,Instalación Mecánica,,Uzun musluklu ve pirinç kumandasız sifonlu
10.100.1084,Asistente de ayudante de instalador,Labor,Labor,Sa,6.52,6.52,6.52,6.52,1,EUR,87.81,13.4696,5215,5199,EQUIPMENT INSTALLATION,Instalación Mecánica,,Uzun musluklu ve pirinç kumandasız sifonlu
10.100.1081,Elektrik ustası,Labor,Labor,Sa,8.81,8.81,8.81,8.81,1,EUR,205.3,23.3038,4719,4619,EQUIPMENT INSTALLATION,Instalación eléctrica,,Profundidad al menos 400 mm
10.100.1083,Ayudante de oficial de electricidad,Labor,Labor,Sa,6.52,6.52,6.52,6.52,1,EUR,154.09,23.6369,4633,4633,EQUIPMENT INSTALLATION,Instalación eléctrica,,Profundidad al menos 400 mm
10.100.1055,Operador de maquinaria,Labor,Labor,Sa,10.09,10.04,12.51,10.04,2,EUR,93.13,9.2702,3446,2481,CONSTRUCTION WORK,Construcción,,Cam Elyaf Takviyeli Polyester (CTP) Silindirik su depoları
01.V04,Maestro especializado,Material,General,SA,12.51,12.51,12.51,12.51,1,EUR,458.22,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Cultura y Turismo B. (Antiguas obras / Restauración),,
19.100.1112,Montacargas,Equipment,General,Sa,24.24,24.24,24.24,24.24,1,EUR,165.67,6.834,1973,1968,CONSTRUCTION WORK,Construcción,,Polietilen Su Depoları
10.100.1050,Maestro de encofrado,Labor,Labor,Sa,8.93,8.81,10.92,8.81,2,EUR,31.2,3.3658,1827,1827,CONSTRUCTION WORK,Construcción,,
01.V06/01,Trabajo de restauración de nivelación,Material,General,SA,5.81,5.81,5.81,5.81,1,EUR,23.32,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Cultura y Turismo B. (Antiguas obras / Restauración),,
01.V05,Asistentes de maestro especializado,Material,General,SA,8.63,8.63,8.63,8.63,1,EUR,211.22,24.4652,1346,814,RESTORATION/HERITAGE WORK,Cultura y Turismo B. (Antiguas obras / Restauración),,
10.100.1091,"Especialista en Pruebas, Ajustes y Puesta en Marcha",Labor,Labor,Sa,24.67,24.67,24.67,24.67,1,EUR,735.25,29.8071,1239,1239,EQUIPMENT INSTALLATION,Instalación eléctrica,,TEK FAZLI REAKTİF GÜÇ KONTROL RÖLELERİ
19.100.1113,Grúa móvil,Equipment,General,Sa,38.07,38.05,49.42,38.05,2,EUR,469.4,12.3354,1018,1013,CONSTRUCTION WORK,Construcción,,Cam Elyaf Takviyeli Polyester (CTP) Silindirik su depoları
